Provinsi,Tahun,Fasilitas_Sekolah,Anggaran_Pendidikan,Jumlah_Pengangguran,Jumlah_Penduduk_Bersekolah
Kalimantan Selatan,2020,3120,  2260100093196.00 ,103648,232724
Kalimantan Selatan,2021,3098,  1080273118220.00 ,109968,215978
Kalimantan Timur,2018,1969,  1648675269838.12 ,114313,238947
Kalimantan Timur,2019,1961,  2301643410675.00 ,110574,245422
Kalimantan Timur,2020,1982,  2524033031650.00 ,124884,230776
Kalimantan Timur,2021,1958,  1057793191048.00 ,126186,228949
Kalimantan Utara,2018,550,  497694865991.00 ,17797,45089
Kalimantan Utara,2019,572,  447366776449.78 ,15380,46829
Kalimantan Utara,2020,577,  519063248978.00 ,17290,42541
Kalimantan Utara,2021,559,  172556562101.00 ,16224,40437
Sulawesi Utara,2018,2763,  1316851992612.95 ,80664,143337
Sulawesi Utara,2019,2763,  1502717523000.00 ,75485,152296
Sulawesi Utara,2020,2775,  1520298545574.11 ,90248,144774
Sulawesi Utara,2021,2765,  863727661059.00 ,85540,138685
Sulawesi Tengah,2018,3406,  1273605248145.00 ,51481,195248
Sulawesi Tengah,2019,3410,  1608148847821.77 ,46802,181615
Sulawesi Tengah,2020,3436,  1819761755358.54 ,59381,171255
Sulawesi Tengah,2021,3397,  501896287810.00 ,59371,148155
Sulawesi Selatan,2018,5979,  3949948846038.00 ,213105,615134
Sulawesi Selatan,2019,5959,  4149589830339.60 ,200304,558339
Sulawesi Selatan,2020,6021,  4556931018707.40 ,269817,499293
Sulawesi Selatan,2021,6001,  4297810535510.00 ,252349,464500
Sulawesi Tenggara,2018,3348,  1483242539070.00 ,40724,165099
Sulawesi Tenggara,2019,3334,  1195526469800.00 ,45292,158091
Sulawesi Tenggara,2020,3334,  1808261887050.00 ,61860,154624
Sulawesi Tenggara,2021,3335,  516507517913.00 ,54134,150296
Gorontalo,2018,1174,  619597641895.00 ,23347,69552
Gorontalo,2019,1192,  665133617306.46 ,23809,73481
Gorontalo,2020,1198,  730492581529.00 ,25410,67189
Gorontalo,2021,1196,  374358919943.00 ,17959,64609
Sulawesi Barat,2018,1325,  360090508262.20 ,20227,86869
Sulawesi Barat,2019,1322,  457954069161.30 ,21054,71383
Sulawesi Barat,2020,1329,  871478878719.50 ,23132,60657
Sulawesi Barat,2021,1323,  299487589647.00 ,22208,57764
Maluku,2018,2087,  1436887466372.00 ,54891,152272
Maluku,2019,2086,  860910784099.03 ,54575,143821
Maluku,2020,2120,  970230389228.15 ,63489,127257
Maluku,2021,2092,  1428160482197.00 ,59589,100754
Maluku Utara,2018,2126,  761207159500.14 ,25831,87421
Maluku Utara,2019,2183,  943556776000.00 ,27303,85300
Maluku Utara,2020,2148,  923854496000.00 ,29997,79159
Maluku Utara,2021,2083,  107053661169.00 ,28133,66609
Papua Barat,2018,1433,  948856829177.00 ,28086,77322
Papua Barat,2019,1426,  2764899757948.00 ,28846,71341
Papua Barat,2020,1438,  2720935655410.00 ,33501,67543
Papua Barat,2021,1460,  447723852277.00 ,29985,57470
Papua,2018,3188,,58756,176043
Papua,2019,3181,  3441164632512.00 ,67173,188438
Papua,2020,3180,  2898335791765.00 ,75658,169205
Papua,2021,3142,,64996,145994
